序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
46,互動碩二,111AC8313,铄閂撾,r2gpgy4qc5,4,3,0,7,8,1,3,0,9,4
47,資工碩二,111598553,澁焙蹔,1rdgkg7phq,5,4,4,2,1,9,3,6,1,8
48,資工碩二,111598022,喷鐴僘,hc470qnyw0h,8,2,6,7,7,6,3,2,3,3
49,資工四,108590931,貲趱碍,1suj92lsh8,8,8,6,1,0,1,8,6,9,3
50,創新資安碩一,112C72332,濒槁镓,cew3ea75s5,9,2,4,6,4,6,7,8,3,9
51,創新AI碩二,111C71805,刔麚猕,222ekju43,0,9,2,9,2,3,2,4,6,6
52,資工四,108590044,敄縆疕,jeb2m7i3h1,9,3,8,4,1,6,5,3,4,7
53,資工碩三,110598450,損饬咸,4j9s8f0qzei,8,4,3,0,2,0,9,3,0,1
54,資工碩三,110598516,骋錤梧,wlikfso11k,5,4,9,1,8,3,0,7,6,1
55,電資資安碩一,112C53209,沀悄嶙,80sdd8eb99,3,0,4,2,5,9,4,6,6,2
56,電資四,109820455,嗸驌嗸,72wby16ryq,2,5,2,5,1,4,8,7,4,3
57,電資四,109820877,煴懄撅,8k0y3tzi6f,2,7,8,9,2,5,9,3,8,4
58,資工碩一,112598320,沰煋宑,k6ymdodh2v,0,9,1,4,4,1,7,2,7,4
59,資工碩三,110598150,鱹桘珍,sp3bvra3gf,5,2,5,5,9,8,2,7,7,2
60,電資AI碩二,111C52241,俦荏戶,c477yvgh5f,1,6,2,8,2,9,4,2,3,9
61,電資資安碩一,112C53860,蔘綡癲,1quznyohab,9,8,1,1,9,0,4,4,6,7
62,互動碩二,111AC8386,庹勒娻,1zi6r2agsgj,4,4,0,5,7,3,3,7,7,2
63,電資AI碩二,111C52342,鯬潙繷,2u9r2qt2sa,8,0,4,2,8,7,6,9,2,1
64,創新AI碩二,111C71803,銦甄泟,hoevqp6rs9,7,6,0,2,9,3,9,2,5,1
65,二資陸生二,110AEM295,硕藉崢,4l61k1qgiv,8,9,0,1,7,5,5,4,8,9
66,創新資安碩一,112C72636,岬岺曔,6v9hhtn19i,3,0,4,4,9,1,1,9,8,7
67,二資陸生二,110AEM649,即杮炀,v64dmr033f,5,0,3,5,8,7,6,3,8,5
68,創新AI碩二,111C71231,炋嫌褤,stjg9moerm,5,6,1,4,2,2,6,3,3,0
69,創新AI碩二,111C71620,唣镲夹,2jvgvpvn1y,6,1,0,4,5,5,3,8,5,5
70,資工碩三,110598328,遬睂劧,5rzt5ujynh,1,1,9,8,6,5,3,3,3,4
71,互動碩二,111AC8422,臷佲鿱,is12vd9wzk,7,8,6,6,6,6,5,4,1,6
72,電資資安碩一,112C53097,藣布泽,qw87vfka1n,9,0,4,8,6,9,5,0,0,9
73,電資三,110820238,螉消攈,2q7msvr0yq,3,1,1,1,3,3,4,0,9,0
74,創新AI碩二,111C71371,呛楷驮,7e1hzr1p5t,3,2,1,0,0,9,6,8,3,6
75,創新AI碩二,111C71040,婋纋欟,6tm6meujkm,7,0,1,1,5,2,9,7,8,1
76,互動碩二,111AC8699,箽坔模,1qspg4hj0t,4,4,4,1,9,3,0,2,8,7
77,創新AI碩一,112C71028,憺躎鬥,imme7qs0bb,3,4,8,1,5,9,3,9,7,7
78,電資三,110820377,梏滝鳷,u7nyiyuxiri,4,4,5,8,7,6,2,5,9,5
79,電資資安碩一,112C53127,帧勨藆,9e2t5mf9o8,6,5,8,2,6,0,0,6,7,4
80,電資AI碩一,112C52958,綒唹薥,b7dxflf06o,8,7,4,9,3,5,1,3,7,3
81,電資AI碩一,112C52122,圥脧棕,jsiaqsinm6f,6,6,3,9,1,7,0,0,3,6
82,電資三,110820756,驼迣砎,c1m0n6bz51,3,8,3,0,2,1,3,9,9,5
83,互動碩二,111AC8257,饻澣迬,q3cfagca86,6,1,8,2,5,7,6,4,5,9
84,電資資安碩一,112C53933,镧笪垽,hy64id8ldk,0,9,9,4,1,5,5,1,4,4
85,電資AI碩一,112C52878,嗱謽趸,4u5kmzo7zu,8,6,3,3,5,6,9,9,8,9
86,資工四,108590093,及假遗,pdtu9lyccu,3,6,7,7,3,5,1,6,9,5
87,電資資安碩一,112C53294,厃惪凹,mrmyel657mk,3,9,4,7,4,2,7,3,6,2
88,二資陸生二,110AEM835,櫸飬缠,3kxajag6xd,1,1,0,1,8,7,7,0,5,9
89,電資AI碩一,112C52463,裭騳鿴,4yfz9wby42,2,1,3,1,1,4,5,0,7,5
90,二資港生二,110AEM758,氪拦耇,rt570qdnb9,9,7,1,9,9,7,1,0,0,6
91,資工四,108590743,穙梠弲,3u5ln6z5mk,3,0,3,1,4,6,0,9,4,8
92,電資AI碩一,112C52110,莲翋攘,zzcrowfw5h,6,1,6,3,1,1,8,8,2,8
93,創新資安碩一,112C72501,记桗慧,jxpv34v9wa,8,2,9,3,9,6,6,1,8,2
94,電資三,110820177,銅绰性,g7dqwsmprv,4,5,2,0,3,0,2,6,0,1
95,創新資安碩一,112C72929,攝儀厤,ohmk1hpvpu,4,7,3,2,8,9,5,0,1,2
96,電資AI碩一,112C52442,宝磵擸,q7b4k3uc4k,6,8,8,3,1,6,3,4,4,5
97,二資港生二,110AEM403,疬鮎亄,hkr0md5tyi,1,9,7,7,4,6,5,7,4,8
98,電資四,109820960,谉裁磬,7u3hr5weet,8,5,2,1,3,8,8,3,1,1
99,資工碩二,111598091,愀宁赸,14yvgohaib,5,8,0,7,3,6,0,0,7,6
100,資工碩二,111598779,掌鞒蚶,betybuowrh,9,9,1,8,8,4,5,0,2,9
101,互動碩二,111AC8940,财樷逫,2iolnrp895,0,6,6,5,6,7,6,2,3,4
102,二資陸生二,110AEM671,瀮鑶鐂,41fpeth686g,0,6,3,5,7,3,9,1,7,7
103,二資港生二,110AEM578,帾粒輬,lcvdn4k18,9,4,1,1,9,8,6,1,0,6
104,資工碩三,110598157,濲窣蜃,bf9kfurgg6,0,6,4,5,6,9,9,0,0,4
105,資工碩三,110598034,男膍搽,dpv4lkhw0vg,0,3,5,3,6,3,2,9,2,8
106,二資港生二,110AEM451,咥冶忂,rwxu57q44t,3,7,6,8,2,1,3,3,0,8
107,電資三,110820753,煹鴧佤,w35yr8r2gp,8,3,1,7,0,4,6,3,8,8
108,資工三,110590173,跸灺瘂,f0acg9kcna,3,6,6,5,3,9,8,0,2,9
109,電資四,109820142,伴鬦愩,xv23z95yxk,8,0,7,6,7,2,4,7,8,5
110,創新AI碩一,112C71339,孴佀晕,zfs2s8o16i,7,1,3,3,9,1,1,0,9,7
111,二資港生二,110AEM694,曓萻稲,cksijyc4st,3,1,1,6,0,3,0,3,8,4
112,二資港生二,110AEM372,宐諦悒,ls3jrfjp4i,2,9,9,9,2,7,9,3,3,4
113,創新資安碩一,112C72412,穗陝蹞,z3xehd0e8l,4,3,7,0,2,5,2,7,2,5
114,電資資安碩一,112C53332,宻夿米,1gi7ajn6ml,9,6,2,3,3,0,8,4,9,5
115,電資資安碩一,112C53377,塸籉翖,wdf23yyr2r,2,2,9,6,0,2,2,0,3,6
116,二資港生二,110AEM263,逻候媫,tfm11w4uyg,4,3,1,3,2,4,3,2,4,0
117,創新資安碩一,112C72051,槎軖飄,kntseuxnhri,7,0,3,6,2,2,1,1,7,8
118,互動碩二,111AC8706,吷鰪呵,xj8zokgy8xf,8,6,3,0,4,5,7,7,8,7
119,互動碩二,111AC8402,婫鬨械,5f8gvuureb,5,8,5,7,4,5,1,3,0,6
120,二資港生二,110AEM326,鏨皡猐,tslufm8ll4,5,4,4,8,8,7,9,6,7,2
